# Station: FINO1
# Parameter: Windgeschwindigkeit_33m
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	10.32	8.18	11.74	.68	2
2013-12-20 00:10:00	10.22	8.12	11.84	.6	2
2013-12-20 00:20:00	10.08	8.38	11.94	.63	2
2013-12-20 00:30:00	10.32	8.38	12.05	.71	2
2013-12-20 00:40:00	10.23	8.33	11.74	.65	2
2013-12-20 00:50:00	10.27	8.33	12.2	.69	2
2013-12-20 01:00:00	10.71	8.78	12.4	.62	2
2013-12-20 01:10:00	10.76	8.93	12.8	.66	2
2013-12-20 01:20:00	11.95	8.93	13.7	.83	2
2013-12-20 01:30:00	11.92	9.53	14.06	.8	2
2013-12-20 01:40:00	11.51	9.28	13	.72	2
2013-12-20 01:50:00	11.8	8.88	13.55	.72	2
2013-12-20 02:00:00	11.68	9.18	13.45	.75	2
2013-12-20 02:10:00	11.63	9.13	14.11	.84	2
2013-12-20 02:20:00	11.65	9.63	14.01	.93	2
2013-12-20 02:30:00	12.56	9.68	14.96	.89	2
2013-12-20 02:40:00	12.91	10.64	15.06	.79	2
2013-12-20 02:50:00	11.72	9.38	14.36	.89	2
2013-12-20 03:00:00	12.73	10.64	16.02	.83	2
2013-12-20 03:10:00	12.93	9.53	15.01	.94	2
2013-12-20 03:20:00	12.7	10.54	14.76	.76	2
2013-12-20 03:30:00	12.41	9.88	14.81	.94	2
2013-12-20 03:40:00	13.54	9.93	15.76	.96	2
2013-12-20 03:50:00	13.38	10.69	15.56	1.01	2
2013-12-20 04:00:00	13.02	9.93	16.32	1.06	2
2013-12-20 04:10:00	13.62	10.08	16.27	1.13	2
2013-12-20 04:20:00	13.41	10.74	15.97	.93	2
2013-12-20 04:30:00	14.05	10.74	16.72	1.05	2
2013-12-20 04:40:00	14.03	10.64	17.32	1.23	2
2013-12-20 04:50:00	13.79	11.54	16.57	.88	2
2013-12-20 05:00:00	13.67	10.19	16.57	1.05	2
2013-12-20 05:10:00	12.77	9.83	14.96	.95	2
2013-12-20 05:20:00	12.88	10.03	14.91	.88	2
2013-12-20 05:30:00	13.94	11.24	16.47	.93	2
2013-12-20 05:40:00	13.41	10.74	15.76	.88	2
2013-12-20 05:50:00	13.46	10.39	16.67	.92	2
2013-12-20 06:00:00	13.33	10.29	15.81	1.01	2
2013-12-20 06:10:00	13.3	10.44	16.57	1.2	2
2013-12-20 06:20:00	12.57	9.68	14.86	1.05	2
2013-12-20 06:30:00	12.82	10.64	15.06	.83	2
2013-12-20 06:40:00	10.6	8.07	12.95	.96	2
2013-12-20 06:50:00	10.83	8.78	12.55	.72	2
2013-12-20 07:00:00	11.73	9.13	14.06	.77	2
2013-12-20 07:10:00	12.38	10.08	14.66	1.01	2
2013-12-20 07:20:00	13.1	10.64	14.91	.74	2
2013-12-20 07:30:00	12.39	9.48	14.76	1.01	2
2013-12-20 07:40:00	13.03	10.29	14.96	.76	2
2013-12-20 07:50:00	13.18	10.59	15.46	.83	2
2013-12-20 08:00:00	13.16	10.29	15.06	.74	2
2013-12-20 08:10:00	13.54	10.34	15.66	1.07	2
2013-12-20 08:20:00	13.1	10.84	14.76	.74	2
2013-12-20 08:30:00	13.07	10.54	15.16	.95	2
2013-12-20 08:40:00	13.61	11.19	16.47	1.03	2
2013-12-20 08:50:00	13.12	10.69	15.16	.94	2
2013-12-20 09:00:00	13.28	11.04	15.51	.87	2
2013-12-20 09:10:00	12.88	10.64	14.56	.71	2
2013-12-20 09:20:00	12.01	9.38	13.7	.84	2
2013-12-20 09:30:00	13.15	10.03	14.96	.77	2
2013-12-20 09:40:00	13.14	11.29	14.91	.63	2
2013-12-20 09:50:00	13.59	10.79	15.46	.88	2
2013-12-20 10:00:00	13.72	11.19	15.31	.73	2
2013-12-20 10:10:00	13.75	11.44	15.46	.74	2
