# Station: FINO1
# Parameter: Windgeschwindigkeit_80m
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	11.28	9.48	12.49	.57	2
2013-12-20 00:10:00	10.91	9.53	12.34	.51	2
2013-12-20 00:20:00	10.78	8.46	12.85	.87	2
2013-12-20 00:30:00	11.21	9.69	13.11	.59	2
2013-12-20 00:40:00	10.83	9.18	12.65	.59	2
2013-12-20 00:50:00	11.13	9.38	12.65	.62	2
2013-12-20 01:00:00	11.45	9.69	12.95	.64	2
2013-12-20 01:10:00	11.49	9.74	13.92	.8	2
2013-12-20 01:20:00	12.74	10.81	14.59	.72	2
2013-12-20 01:30:00	12.51	10.3	14.03	.72	2
2013-12-20 01:40:00	12.35	10.4	14.03	.66	2
2013-12-20 01:50:00	12.53	10.86	14.64	.74	2
2013-12-20 02:00:00	12.37	10.35	14.94	.76	2
2013-12-20 02:10:00	12.8	10.5	15.15	.86	2
2013-12-20 02:20:00	12.76	10.15	14.84	.85	2
2013-12-20 02:30:00	13.8	11.47	16.02	.74	2
2013-12-20 02:40:00	13.99	11.68	15.81	.72	2
2013-12-20 02:50:00	13.05	11.01	15.51	.83	2
2013-12-20 03:00:00	13.87	11.37	16.48	.88	2
2013-12-20 03:10:00	14.01	11.83	16.07	.78	2
2013-12-20 03:20:00	14.04	11.68	16.73	.88	2
2013-12-20 03:30:00	13.47	10.86	16.02	.94	2
2013-12-20 03:40:00	14.55	12.03	16.37	.78	2
2013-12-20 03:50:00	14.3	11.73	16.94	.99	2
2013-12-20 04:00:00	14.33	11.58	17.6	1.1	2
2013-12-20 04:10:00	15.01	11.78	17.96	1.12	2
2013-12-20 04:20:00	15.09	12.55	17.5	.87	2
2013-12-20 04:30:00	15.09	12.34	17.96	.88	2
2013-12-20 04:40:00	14.96	11.93	17.34	1.06	2
2013-12-20 04:50:00	14.63	12.55	17.45	.83	2
2013-12-20 05:00:00	14.33	11.93	16.53	.89	2
2013-12-20 05:10:00	13.59	11.22	14.94	.71	2
2013-12-20 05:20:00	13.98	11.68	15.91	.66	2
2013-12-20 05:30:00	14.66	12.39	16.94	.87	2
2013-12-20 05:40:00	14.36	11.12	16.58	.89	2
2013-12-20 05:50:00	14.39	11.52	16.73	.88	2
2013-12-20 06:00:00	14.44	11.47	16.42	.81	2
