# Station: FINO1
# Parameter: Windgeschwindigkeit_40m
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Variance	Quality
# Data:
2013-12-20 00:00:00	10.56	8.43	11.81	.68	2
2013-12-20 00:10:00	10.41	7.98	12.06	.61	2
2013-12-20 00:20:00	10.37	8.67	12.11	.65	2
2013-12-20 00:30:00	10.52	8.67	12.25	.68	2
2013-12-20 00:40:00	10.43	8.48	12.01	.67	2
2013-12-20 00:50:00	10.46	8.72	12.21	.69	2
2013-12-20 01:00:00	10.93	9.17	12.45	.62	2
2013-12-20 01:10:00	11.02	8.97	13.4	.69	2
2013-12-20 01:20:00	12.26	9.17	14.39	.76	2
2013-12-20 01:30:00	12.16	9.47	13.95	.77	2
2013-12-20 01:40:00	11.77	9.42	13.5	.73	2
2013-12-20 01:50:00	12.06	9.37	13.5	.71	2
2013-12-20 02:00:00	11.98	9.62	14.14	.76	2
2013-12-20 02:10:00	11.93	9.37	14.05	.86	2
2013-12-20 02:20:00	11.88	9.47	14.24	.94	2
2013-12-20 02:30:00	12.91	10.17	15.59	.84	2
2013-12-20 02:40:00	13.21	10.56	14.99	.83	2
2013-12-20 02:50:00	12.05	9.82	14.54	.87	2
2013-12-20 03:00:00	13.01	10.86	15.93	.85	2
2013-12-20 03:10:00	13.23	10.41	15.74	.94	2
2013-12-20 03:20:00	12.99	10.81	15.29	.79	2
2013-12-20 03:30:00	12.78	10.07	14.99	.95	2
2013-12-20 03:40:00	13.85	10.17	16.03	.98	2
2013-12-20 03:50:00	13.7	11.06	15.98	1.02	2
2013-12-20 04:00:00	13.32	9.92	16.68	1.1	2
2013-12-20 04:10:00	13.92	10.91	16.68	1.14	2
2013-12-20 04:20:00	13.79	11.16	16.18	.92	2
2013-12-20 04:30:00	14.3	10.81	16.88	1.03	2
2013-12-20 04:40:00	14.13	11.01	16.88	1.17	2
2013-12-20 04:50:00	14.06	11.81	17.03	.87	2
2013-12-20 05:00:00	13.93	10.32	16.18	1.05	2
2013-12-20 05:10:00	13.08	10.02	15.39	.97	2
2013-12-20 05:20:00	13.15	10.41	15.09	.88	2
2013-12-20 05:30:00	14.15	11.16	16.68	.96	2
2013-12-20 05:40:00	13.64	10.71	16.38	.91	2
2013-12-20 05:50:00	13.72	10.86	16.88	.93	2
2013-12-20 06:00:00	13.57	10.41	15.89	.97	2
2013-12-20 06:10:00	13.5	10.46	17.33	1.24	2
2013-12-20 06:20:00	12.75	10.02	15.29	1.07	2
2013-12-20 06:30:00	13.09	10.66	15.29	.84	2
2013-12-20 06:40:00	10.85	8.48	13.2	.89	2
2013-12-20 06:50:00	10.87	8.97	12.65	.66	2
2013-12-20 07:00:00	11.79	9.17	13.65	.74	2
2013-12-20 07:10:00	12.45	9.82	14.49	1.02	2
2013-12-20 07:20:00	13.2	10.61	15.09	.73	2
2013-12-20 07:30:00	12.46	9.52	14.84	.97	2
2013-12-20 07:40:00	13.17	10.56	14.89	.78	2
2013-12-20 07:50:00	13.34	10.66	15.44	.85	2
2013-12-20 08:00:00	13.26	10.51	15.19	.79	2
2013-12-20 08:10:00	13.74	9.97	15.74	1.05	2
2013-12-20 08:20:00	13.21	10.96	14.89	.72	2
2013-12-20 08:30:00	13.17	10.32	15.14	.95	2
