0	1.4646e+18	6.9967	0.50275	46.986	6.2707	0.45019	0.16435	70	0.012571	0.00016789
1	1.4646e+18	7.3417	0.54166	44.978	6.2722	0.401	0.24568	70	0.013424	0.00016649
2	1.4646e+18	7.5623	0.52595	42.996	6.2741	0.33643	0.3132	70	0.015656	0.00015807
3	1.4646e+18	7.879	0.49129	44.774	6.2763	0.26036	0.36383	70	0.017523	0.00014717
4	1.4646e+18	8.1888	0.51647	45.654	6.2788	0.17707	0.3957	70	0.019398	0.00015403
5	1.4646e+18	8.3463	0.51014	44.322	6.2811	0.091349	0.40794	70	0.02242	0.00017082
6	1.4646e+18	8.5679	0.56708	51.1	0.00022353	0.0078006	0.40095	70	0.02403	0.00018929
7	1.4646e+18	8.7359	0.5565	57.698	0.0022403	-0.069043	0.37621	70	0.025675	0.00020624
8	1.4646e+18	8.8567	0.50841	60.851	0.0040448	-0.13541	0.33625	70	0.026944	0.00021894
9	1.4646e+18	9.0399	0.59557	64.801	0.0057561	-0.18815	0.2845	70	0.028142	0.00023098
10	1.4646e+18	9.0926	0.57542	67.397	0.0074404	-0.22525	0.22491	70	0.030555	0.00026991
11	1.4646e+18	9.1631	0.56886	70.829	0.0086029	-0.24572	0.16194	70	0.032331	0.00030397
12	1.4646e+18	9.249	0.59463	73.553	0.0092603	-0.24981	0.099889	70	0.033059	0.00029992
13	1.4646e+18	9.3721	0.61658	73.356	0.0093794	-0.23887	0.04297	70	0.03381	0.00028337
14	1.4646e+18	9.4548	0.53997	74.327	0.0093299	-0.21527	-0.0053289	70	0.033195	0.0002847
15	1.4646e+18	9.5577	0.59215	76.544	0.0093147	-0.18225	-0.0422	70	0.032808	0.00032475
16	1.4646e+18	9.5615	0.60939	73.542	0.008607	-0.14358	-0.065956	70	0.033807	0.00035137
17	1.4646e+18	9.5276	0.65635	71.648	0.0075941	-0.10337	-0.075955	70	0.033697	0.00032784
18	1.4646e+18	9.4869	0.74599	71.18	0.006023	-0.065603	-0.072756	70	0.033136	0.00038185
19	1.4646e+18	9.3774	0.64871	69.684	0.0041976	-0.034025	-0.058012	70	0.032407	0.00032846
20	1.4646e+18	9.2991	0.52908	76.69	0.001768	-0.011636	-0.034309	70	0.031847	0.00034239
21	1.4646e+18	0.74776	0.27321	613.74	6.2822	-0.00062438	-0.0050267	70	0.032647	0.0042767
22	1.4646e+18	0.77072	0.71884	14051	6.2791	-0.0020614	0.025859	70	0.03283	0.082135
23	1.4646e+18	0.73347	0.37514	2490.2	6.2758	-0.015911	0.054737	70	0.03241	0.017623
24	1.4646e+18	0.6855	0.44305	1096.4	6.2721	-0.041053	0.077653	70	0.032387	0.010786
25	1.4646e+18	9.2551	0.55966	76.077	6.2683	-0.07524	0.091249	70	0.032488	0.00037024
26	1.4646e+18	9.2939	0.61726	67.457	6.2642	-0.11543	0.092963	70	0.032343	0.00035946
27	1.4646e+18	9.2688	0.60223	72.998	6.2601	-0.15784	0.081178	70	0.030643	0.00035055
28	1.4646e+18	9.2316	0.62656	70.915	6.2561	-0.19846	0.055367	70	0.029575	0.00032943
29	1.4646e+18	9.1813	0.66998	71.544	6.252	-0.23313	0.01621	70	0.028152	0.00030384
30	1.4646e+18	9.1102	0.57703	71.8	6.2485	-0.25808	-0.034571	70	0.026286	0.00028056
31	1.4646e+18	9.0739	0.61345	73.593	6.245	-0.27005	-0.09413	70	0.023827	0.00029927
32	1.4646e+18	9.0093	0.54613	72.394	6.242	-0.26665	-0.15895	70	0.020812	0.00029091
33	1.4646e+18	8.9182	0.57096	72.861	6.2391	-0.24652	-0.22478	70	0.01909	0.00027192
34	1.4646e+18	8.835	0.52814	65.964	6.2366	-0.20938	-0.28728	70	0.018031	0.00025863
35	1.4646e+18	8.7407	0.55599	67.549	6.2337	-0.15623	-0.34195	70	0.016424	0.00023858
36	1.4646e+18	8.5329	0.50356	60.157	6.2315	-0.089049	-0.38481	70	0.012992	0.00021692
